Area_Name	Year	Group_Name	Sub_Group_Name	Cases_Property_Recovered	Cases_Property_Stolen	Value_of_Property_Recovered	Value_of_Property_Stolen
Andhra Pradesh	2001	Burglary - Property	3. Burglary	3321	7134	51483437	147019348
Andhra Pradesh	2002	Burglary - Property	3. Burglary	3166	7581	61296964	176224716
Andhra Pradesh	2003	Burglary - Property	3. Burglary	3475	8969	64794798	195788844
Andhra Pradesh	2004	Burglary - Property	3. Burglary	3451	8041	61730107	216381714
Andhra Pradesh	2005	Burglary - Property	3. Burglary	3578	7894	92930221	240127856
Andhra Pradesh	2006	Burglary - Property	3. Burglary	3450	8169	142717661	310621897
Andhra Pradesh	2007	Burglary - Property	3. Burglary	3827	7609	85999945	265927102
Andhra Pradesh	2008	Burglary - Property	3. Burglary	3832	8219	105204037	320442778
Andhra Pradesh	2009	Burglary - Property	3. Burglary	3416	7702	106540830	372576517
Andhra Pradesh	2010	Burglary - Property	3. Burglary	4125	8126	167645552	455774882
Andhra Pradesh	2001	Criminal Breach of Trust - Property	5. Criminal Breach of Trust	40	316	3301479	45128264
Andhra Pradesh	2002	Criminal Breach of Trust - Property	5. Criminal Breach of Trust	104	382	6462978	67143584
Andhra Pradesh	2003	Criminal Breach of Trust - Property	5. Criminal Breach of Trust	43	296	9731021	44005241
Andhra Pradesh	2004	Criminal Breach of Trust - Property	5. Criminal Breach of Trust	50	353	7380662	118644247
Andhra Pradesh	2005	Criminal Breach of Trust - Property	5. Criminal Breach of Trust	47	348	15059030	60887542
Andhra Pradesh	2006	Criminal Breach of Trust - Property	5. Criminal Breach of Trust	63	396	13934804	87652602
Andhra Pradesh	2007	Criminal Breach of Trust - Property	5. Criminal Breach of Trust	53	278	10588289	63766044
Andhra Pradesh	2008	Criminal Breach of Trust - Property	5. Criminal Breach of Trust	109	329	10702595	76445367
Andhra Pradesh	2009	Criminal Breach of Trust - Property	5. Criminal Breach of Trust	160	466	38183752	152390321
Andhra Pradesh	2010	Criminal Breach of Trust - Property	5. Criminal Breach of Trust	113	417	15315562	101817765
Andhra Pradesh	2001	Dacoity -Property	1. Dacoity	95	203	12616493	29127698
Andhra Pradesh	2002	Dacoity -Property	1. Dacoity	100	193	13183547	24840635
Andhra Pradesh	2003	Dacoity -Property	1. Dacoity	94	173	13612142	42850011
Andhra Pradesh	2004	Dacoity -Property	1. Dacoity	82	152	9771450	17206064
Andhra Pradesh	2005	Dacoity -Property	1. Dacoity	159	245	19305553	29946537
Andhra Pradesh	2006	Dacoity -Property	1. Dacoity	107	174	14806698	32668783
Andhra Pradesh	2007	Dacoity -Property	1. Dacoity	89	138	36502464	49272166
Andhra Pradesh	2008	Dacoity -Property	1. Dacoity	77	108	5175890	19165296
Andhra Pradesh	2009	Dacoity -Property	1. Dacoity	51	101	14981520	24465809
Andhra Pradesh	2010	Dacoity -Property	1. Dacoity	97	133	18607717	30276549
Andhra Pradesh	2001	Other heads of Property	6. Other Property	154	360	3293943	7786220
Andhra Pradesh	2002	Other heads of Property	6. Other Property	207	491	5582933	20701567
Andhra Pradesh	2003	Other heads of Property	6. Other Property	79	195	1294520	2397928
Andhra Pradesh	2004	Other heads of Property	6. Other Property	76	192	1650696	10111253
Andhra Pradesh	2005	Other heads of Property	6. Other Property	104	192	15020857	23371050
Andhra Pradesh	2006	Other heads of Property	6. Other Property	121	196	5074077	8118944
Andhra Pradesh	2007	Other heads of Property	6. Other Property	180	254	6778955	10106418
Andhra Pradesh	2008	Other heads of Property	6. Other Property	462	663	11240147	15869126
Andhra Pradesh	2009	Other heads of Property	6. Other Property	314	435	10791957	18529965
Andhra Pradesh	2010	Other heads of Property	6. Other Property	96	840	7695160	19092260
Andhra Pradesh	2001	Robbery - Property	2. Robbery	293	622	7149310	22872277
Andhra Pradesh	2002	Robbery - Property	2. Robbery	294	635	7182440	19471642
Andhra Pradesh	2003	Robbery - Property	2. Robbery	326	640	7626468	22343329
Andhra Pradesh	2004	Robbery - Property	2. Robbery	275	563	11176441	22674264
Andhra Pradesh	2005	Robbery - Property	2. Robbery	358	784	11824646	29807447
Andhra Pradesh	2006	Robbery - Property	2. Robbery	339	669	18259006	42224671
Andhra Pradesh	2007	Robbery - Property	2. Robbery	332	604	21691492	42748748
Andhra Pradesh	2008	Robbery - Property	2. Robbery	348	599	30406364	54947063
Andhra Pradesh	2009	Robbery - Property	2. Robbery	310	536	32450159	52697966
Andhra Pradesh	2010	Robbery - Property	2. Robbery	337	533	19902399	39143793
Andhra Pradesh	2001	Theft - Property	4. Theft	9515	16435	108258741	224104509
Andhra Pradesh	2002	Theft - Property	4. Theft	10196	19058	122897719	241628837
Andhra Pradesh	2003	Theft - Property	4. Theft	10958	23042	171432243	353299084
Andhra Pradesh	2004	Theft - Property	4. Theft	11810	23162	190936570	391028586
Andhra Pradesh	2005	Theft - Property	4. Theft	13716	23395	229884092	451664136
Andhra Pradesh	2006	Theft - Property	4. Theft	12757	23211	241310512	514737824
Andhra Pradesh	2007	Theft - Property	4. Theft	13265	23856	301731761	514325019
Andhra Pradesh	2008	Theft - Property	4. Theft	13446	24324	397591848	721249352
Andhra Pradesh	2009	Theft - Property	4. Theft	13133	23922	434869915	778827814
Andhra Pradesh	2010	Theft - Property	4. Theft	15080	26358	495913278	886949317
Andhra Pradesh	2001	Total Property	7. Total Property Stolen & Recovered	13418	25070	186103403	476038316
Andhra Pradesh	2002	Total Property	7. Total Property Stolen & Recovered	14067	28340	216606581	550010981
Andhra Pradesh	2003	Total Property	7. Total Property Stolen & Recovered	14975	33315	268491192	660684437
Andhra Pradesh	2004	Total Property	7. Total Property Stolen & Recovered	15744	32463	282645926	776046128
Andhra Pradesh	2005	Total Property	7. Total Property Stolen & Recovered	17962	32858	384024399	835804568
Andhra Pradesh	2006	Total Property	7. Total Property Stolen & Recovered	16837	32815	436102758	996024721
Andhra Pradesh	2007	Total Property	7. Total Property Stolen & Recovered	17746	32739	463292906	946145497
Andhra Pradesh	2008	Total Property	7. Total Property Stolen & Recovered	18274	34242	560320881	1208118982
Andhra Pradesh	2009	Total Property	7. Total Property Stolen & Recovered	17384	33162	637818133	1399488392
Andhra Pradesh	2010	Total Property	7. Total Property Stolen & Recovered	19848	36407	725079668	1533054566
